org_name	org_abbr	tax_ID
Candida albicans A20	Cand_albi_A20	1182533: Eukaryota; Fungi; Dikarya; Ascomycota; Saccharomycotina; Saccharomycetes; Saccharomycetales; Debaryomycetaceae; 
Candida albicans A203	Cand_albi_A203	1182540: Eukaryota; Fungi; Dikarya; Ascomycota; Saccharomycotina; Saccharomycetes; Saccharomycetales; Debaryomycetaceae; 
Candida albicans A48	Cand_albi_A48	1182534: Eukaryota; Fungi; Dikarya; Ascomycota; Saccharomycotina; Saccharomycetes; Saccharomycetales; Debaryomycetaceae; 
Candida albicans A67	Cand_albi_A67	1182535: Eukaryota; Fungi; Dikarya; Ascomycota; Saccharomycotina; Saccharomycetes; Saccharomycetales; Debaryomycetaceae; 
Candida albicans A84	Cand_albi_A84	1182539: Eukaryota; Fungi; Dikarya; Ascomycota; Saccharomycotina; Saccharomycetes; Saccharomycetales; Debaryomycetaceae; 
Candida albicans A92	Cand_albi_A92	1182536: Eukaryota; Fungi; Dikarya; Ascomycota; Saccharomycotina; Saccharomycetes; Saccharomycetales; Debaryomycetaceae; 
Candida albicans CHN1	Cand_albi_CHN1	1182532: Eukaryota; Fungi; Dikarya; Ascomycota; Saccharomycotina; Saccharomycetes; Saccharomycetales; Debaryomycetaceae; 
Candida albicans Ca529L	Cand_albi_Ca529L	1325634: Eukaryota; Fungi; Dikarya; Ascomycota; Saccharomycotina; Saccharomycetes; Saccharomycetales; Debaryomycetaceae; 
Candida albicans WO-1	Cand_albi_WO_1	294748: Eukaryota; Fungi; Dikarya; Ascomycota; Saccharomycotina; Saccharomycetes; Saccharomycetales; Debaryomycetaceae; 
Candida dubliniensis CD36	Cand_dubl_CD36	573826: Eukaryota; Fungi; Dikarya; Ascomycota; Saccharomycotina; Saccharomycetes; Saccharomycetales; Debaryomycetaceae; 
Candida glabrata CBS 138	Cand_glab_CBS_138	5478: Eukaryota; Fungi; Dikarya; Ascomycota; Saccharomycotina; Saccharomycetes; Saccharomycetales; Saccharomycetaceae; 
Candida orthopsilosis Co 90-125	Cand_orth_Co_90_125	273371: Eukaryota; Fungi; Dikarya; Ascomycota; Saccharomycotina; Saccharomycetes; Saccharomycetales; Debaryomycetaceae; 
Candida tropicalis 121	Cand_trop_121	5482: Eukaryota; Fungi; Dikarya; Ascomycota; Saccharomycotina; Saccharomycetes; Saccharomycetales; Debaryomycetaceae; 
Candida tropicalis MYA-3404	Cand_trop_MYA_3404	294747: Eukaryota; Fungi; Dikarya; Ascomycota; Saccharomycotina; Saccharomycetes; Saccharomycetales; Debaryomycetaceae; 
Capronia semiimmersa CBS 27337	Capr_semi_CBS_27337	5601: Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Eurotiomycetes; Chaetothyriomycetidae; Chaetothyriales; 
Cerataphis brasiliensis yeast-like symbiont	Cera_bras_yeast_like_symbiont	1202554: Eukaryota; Fungi; Dikarya; Ascomycota. 
Chaetomium globosum CBS 148.51	Chae_glob_CBS_148_51	306901: Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Sordariomycetes; Sordariomycetidae; Sordariales; Chaetomiaceae; 
Chaetomium thermophilum var. thermophilum DSM 1495	Chae_ther_var_thermophilum_DSM_1495	759272: Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Sordariomycetes; Sordariomycetidae; Sordariales; Chaetomiaceae; 
Cladophialophora bantiana CBS 173.52	Clad_bant_CBS_173_52	1442370: Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Eurotiomycetes; Chaetothyriomycetidae; Chaetothyriales; 
Cladophialophora carrionii CBS 160.54	Clad_carr_CBS_160_54	1279043: Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Eurotiomycetes; Chaetothyriomycetidae; Chaetothyriales; 
Cladophialophora immunda CBS 83496	Clad_immu_CBS_83496	569365: Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Eurotiomycetes; Chaetothyriomycetidae; Chaetothyriales; 
Cladonia macilenta KoLRI003786	Clad_maci_KoLRI003786	1353983: Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Lecanoromycetes; OSLEUM clade; Lecanoromycetidae; Lecanorales; 
Cladonia metacorallifera KoLRI002260	Clad_meta_KoLRI002260	1400770: Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Lecanoromycetes; OSLEUM clade; Lecanoromycetidae; Lecanorales; 
Cladosporium sphaerospermum UM 843	Clad_spha_UM_843	1151026: Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Dothideomycetes; Dothideomycetidae; Capnodiales; Cladosporiaceae; 
Clavispora lusitaniae ATCC 42720	Clav_lusi_ATCC_42720	306902: Eukaryota; Fungi; Dikarya; Ascomycota; Saccharomycotina; Saccharomycetes; Saccharomycetales; Metschnikowiaceae; Clavispora. 
Coccidioides immitis H538.4	Cocc_immi_H538_4	396776: Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Eurotiomycetes; Eurotiomycetidae; Onygenales; mitosporic 
Coccidioides immitis RMSCC 2394	Cocc_immi_RMSCC_2394	404692: Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Eurotiomycetes; Eurotiomycetidae; Onygenales; mitosporic 
Coccidioides immitis RMSCC 3703	Cocc_immi_RMSCC_3703	454286: Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Eurotiomycetes; Eurotiomycetidae; Onygenales; mitosporic 
Coccidioides immitis RS	Cocc_immi_RS	246410: Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Eurotiomycetes; Eurotiomycetidae; Onygenales; mitosporic 
Coccidioides posadasii C735 delta SOWgp	Cocc_posa_C735_delta_SOWgp	222929: Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Eurotiomycetes; Eurotiomycetidae; Onygenales; mitosporic 
Coccidioides posadasii CPA 0001	Cocc_posa_CPA_0001	469472: Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Eurotiomycetes; Eurotiomycetidae; Onygenales; mitosporic 
Coccidioides posadasii CPA 0020	Cocc_posa_CPA_0020	490068: Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Eurotiomycetes; Eurotiomycetidae; Onygenales; mitosporic 
Coccidioides posadasii CPA 0066	Cocc_posa_CPA_0066	490069: Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Eurotiomycetes; Eurotiomycetidae; Onygenales; mitosporic 
Coccidioides posadasii RMSCC 1037	Cocc_posa_RMSCC_1037	490065: Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Eurotiomycetes; Eurotiomycetidae; Onygenales; mitosporic 
Coccidioides posadasii RMSCC 1038	Cocc_posa_RMSCC_1038	490066: Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Eurotiomycetes; Eurotiomycetidae; Onygenales; mitosporic 
Coccidioides posadasii RMSCC 2133	Cocc_posa_RMSCC_2133	469470: Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Eurotiomycetes; Eurotiomycetidae; Onygenales; mitosporic 
Coccidioides posadasii RMSCC 3488	Cocc_posa_RMSCC_3488	454284: Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Eurotiomycetes; Eurotiomycetidae; Onygenales; mitosporic 
Coccidioides posadasii RMSCC 3700	Cocc_posa_RMSCC_3700	469471: Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Eurotiomycetes; Eurotiomycetidae; Onygenales; mitosporic 
Coccidioides posadasii str. Silveira	Cocc_posa_Silveira	443226: Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Eurotiomycetes; Eurotiomycetidae; Onygenales; mitosporic 
Colletotrichum graminicola M1.001	Coll_gram_M1_001	645133: Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Sordariomycetes; Hypocreomycetidae; Glomerellales; Glomerellaceae; 
Colletotrichum orbiculare MAFF 240422	Coll_orbi_MAFF_240422	1213857: Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Sordariomycetes; Hypocreomycetidae; Glomerellales; Glomerellaceae; 
Coniophora puteana RWD-64-598 SS2	Coni_pute_RWD_64_598_SS2	741705: Eukaryota; Fungi; Dikarya; Basidiomycota; Agaricomycotina; Agaricomycetes; Agaricomycetidae; Boletales; Coniophorineae; 
Cordyceps militaris CM01	Cord_mili_CM01	983644: Eukaryota; Fungi; Dikarya; Ascomycota; Pezizomycotina; Sordariomycetes; Hypocreomycetidae; Hypocreales; Cordycipitaceae; 
Cronartium comandrae C4	Cron_coma_C4	1301515: Eukaryota; Fungi; Dikarya; Basidiomycota; Pucciniomycotina; Pucciniomycetes; Pucciniales; Cronartiaceae; Cronartium. 
Cronartium quercuum f. sp. banksianae CqE3WM	Cron_quer_f_banksianae_CqE3WM	1301520: Eukaryota; Fungi; Dikarya; Basidiomycota; Pucciniomycotina; Pucciniomycetes; Pucciniales; Cronartiaceae; Cronartium. 
Cronartium ribicola 11-2	Cron_ribi_11_2	1301521: Eukaryota; Fungi; Dikarya; Basidiomycota; Pucciniomycotina; Pucciniomycetes; Pucciniales; Cronartiaceae; Cronartium. 
Cryptococcus bestiolae CBS 10118	Cryp_best_CBS_10118	1296100: Eukaryota; Fungi; Dikarya; Basidiomycota; Agaricomycotina; Tremellomycetes; Tremellales; Tremellales incertae sedis; 
Cryptococcus dejecticola CBS 10117	Cryp_deje_CBS_10117	1296121: Eukaryota; Fungi; Dikarya; Basidiomycota; Agaricomycotina; Tremellomycetes; Tremellales; Tremellales incertae sedis; 
Cryptococcus gattii 2001/935-1	Cryp_gatt_2001_935_1	1334442: Eukaryota; Fungi; Dikarya; Basidiomycota; Agaricomycotina; Tremellomycetes; Tremellales; Tremellaceae; Filobasidiella; 
Cryptococcus gattii 99/473	Cryp_gatt_99_473	1296104: Eukaryota; Fungi; Dikarya; Basidiomycota; Agaricomycotina; Tremellomycetes; Tremellales; Tremellaceae; Filobasidiella; 
Cryptococcus gattii CA1014	Cryp_gatt_CA1014	1296107: Eukaryota; Fungi; Dikarya; Basidiomycota; Agaricomycotina; Tremellomycetes; Tremellales; Tremellaceae; Filobasidiella; 
Cryptococcus gattii CA1280	Cryp_gatt_CA1280	1296109: Eukaryota; Fungi; Dikarya; Basidiomycota; Agaricomycotina; Tremellomycetes; Tremellales; Tremellaceae; Filobasidiella; 
